Ticker;BTC-USD
11.10.2023;26873.32031
12.10.2023;26756.79883
13.10.2023;26862.375
14.10.2023;26861.70703
15.10.2023;27159.65234
16.10.2023;28519.4668
17.10.2023;28415.74805
18.10.2023;28328.3418
19.10.2023;28719.80664
20.10.2023;29682.94922
21.10.2023;29918.41211
22.10.2023;29993.89648
23.10.2023;33086.23438
24.10.2023;33901.52734
25.10.2023;34502.82031
26.10.2023;34156.64844
27.10.2023;33909.80078
28.10.2023;34089.57422
29.10.2023;34538.48047
30.10.2023;34502.36328
31.10.2023;34667.78125
1.11.2023;35437.25391
2.11.2023;34938.24219
3.11.2023;34732.32422
4.11.2023;35082.19531
5.11.2023;35049.35547
6.11.2023;35037.37109
7.11.2023;35443.5625
8.11.2023;35655.27734
9.11.2023;36693.125
10.11.2023;37313.96875
11.11.2023;37138.05078
12.11.2023;37054.51953
13.11.2023;36502.35547
14.11.2023;35537.64063
15.11.2023;37880.58203
16.11.2023;36154.76953
17.11.2023;36596.68359
18.11.2023;36585.70313
19.11.2023;37386.54688
20.11.2023;37476.95703
21.11.2023;35813.8125
22.11.2023;37432.33984
23.11.2023;37289.62109
24.11.2023;37720.28125
25.11.2023;37796.79297
26.11.2023;37479.12109
27.11.2023;37254.16797
28.11.2023;37831.08594
29.11.2023;37858.49219
30.11.2023;37712.74609
1.12.2023;38688.75
2.12.2023;39476.33203
3.12.2023;39978.39063
4.12.2023;41980.09766
5.12.2023;44080.64844
6.12.2023;43746.44531
7.12.2023;43292.66406
8.12.2023;44166.60156
9.12.2023;43725.98438
10.12.2023;43779.69922
11.12.2023;41243.83203
12.12.2023;41450.22266
13.12.2023;42890.74219
14.12.2023;43023.97266
15.12.2023;41929.75781
16.12.2023;42240.11719
17.12.2023;41364.66406
18.12.2023;42623.53906
19.12.2023;42270.52734
20.12.2023;43652.25
21.12.2023;43869.15234
22.12.2023;43997.90234
23.12.2023;43739.54297
24.12.2023;43016.11719
25.12.2023;43613.14063
26.12.2023;42520.40234
27.12.2023;43442.85547
28.12.2023;42627.85547
29.12.2023;42099.40234
30.12.2023;42156.90234
31.12.2023;42265.1875
1.01.2024;44167.33203
2.01.2024;44957.96875
3.01.2024;42848.17578
4.01.2024;44179.92188
5.01.2024;44162.69141
6.01.2024;43989.19531
7.01.2024;43943.09766
8.01.2024;46970.50391
9.01.2024;46139.73047
10.01.2024;46627.77734
11.01.2024;46368.58594
12.01.2024;42853.16797
13.01.2024;42842.38281
14.01.2024;41796.26953
15.01.2024;42511.96875
16.01.2024;43154.94531
17.01.2024;42742.65234
18.01.2024;41262.05859
19.01.2024;41618.40625
20.01.2024;41665.58594
21.01.2024;41545.78516
22.01.2024;39507.36719
23.01.2024;39845.55078
24.01.2024;40077.07422
25.01.2024;39933.80859
26.01.2024;41816.87109
27.01.2024;42120.05469
28.01.2024;42035.59375
29.01.2024;43288.24609
30.01.2024;42952.60938
31.01.2024;42582.60547
1.02.2024;43075.77344
2.02.2024;43185.85938
3.02.2024;42992.25
4.02.2024;42583.58203
5.02.2024;42658.66797
6.02.2024;43084.67188
7.02.2024;44318.22266
8.02.2024;45301.56641
9.02.2024;47147.19922
10.02.2024;47771.27734
11.02.2024;48293.91797
12.02.2024;49958.22266
13.02.2024;49742.44141
14.02.2024;51826.69531
15.02.2024;51938.55469
16.02.2024;52160.20313
17.02.2024;51662.99609
18.02.2024;52122.54688
19.02.2024;51779.14453
20.02.2024;52284.875
21.02.2024;51839.17969
22.02.2024;51304.97266
23.02.2024;50731.94922
24.02.2024;51571.10156
25.02.2024;51733.23828
26.02.2024;54522.40234
27.02.2024;57085.37109
28.02.2024;62504.78906
29.02.2024;61198.38281
1.03.2024;62440.63281
2.03.2024;62029.84766
3.03.2024;63167.37109
4.03.2024;68330.41406
5.03.2024;63801.19922
6.03.2024;66106.80469
7.03.2024;66925.48438
8.03.2024;68300.09375
9.03.2024;68498.88281
10.03.2024;69019.78906
11.03.2024;72123.90625
12.03.2024;71481.28906
13.03.2024;73083.5
14.03.2024;71396.59375
15.03.2024;69403.77344
16.03.2024;65315.11719
17.03.2024;68390.625
18.03.2024;67548.59375
19.03.2024;61912.77344
20.03.2024;67913.67188
21.03.2024;65491.39063
22.03.2024;63778.76172
23.03.2024;64062.20313
24.03.2024;67234.17188
25.03.2024;69958.8125
26.03.2024;69987.83594
27.03.2024;69455.34375
28.03.2024;70744.95313
29.03.2024;69892.82813
30.03.2024;69645.30469
31.03.2024;71333.64844
1.04.2024;69702.14844
2.04.2024;65446.97266
3.04.2024;65980.8125
4.04.2024;68508.84375
5.04.2024;67837.64063
6.04.2024;68896.10938
7.04.2024;69362.55469
8.04.2024;71631.35938
9.04.2024;69139.01563
10.04.2024;70587.88281
11.04.2024;70060.60938
12.04.2024;67195.86719
13.04.2024;63821.47266
14.04.2024;65738.72656
15.04.2024;63426.21094
16.04.2024;63811.86328
17.04.2024;61276.69141
18.04.2024;63512.75391
19.04.2024;63843.57031
20.04.2024;64994.44141
21.04.2024;64926.64453
22.04.2024;66837.67969
23.04.2024;66407.27344
24.04.2024;64276.89844
25.04.2024;64481.70703
26.04.2024;63755.32031
27.04.2024;63419.14063
28.04.2024;63113.23047
29.04.2024;63841.12109
30.04.2024;60636.85547
1.05.2024;58254.01172
2.05.2024;59123.43359
3.05.2024;62889.83594
4.05.2024;63891.47266
5.05.2024;64031.13281
6.05.2024;63161.94922
7.05.2024;62334.81641
8.05.2024;61187.94141
9.05.2024;63049.96094
10.05.2024;60792.77734
11.05.2024;60793.71094
12.05.2024;61448.39453
13.05.2024;62901.44922
14.05.2024;61552.78906
15.05.2024;66267.49219
16.05.2024;65231.58203
17.05.2024;67051.875
18.05.2024;66940.80469
19.05.2024;66278.36719
20.05.2024;71448.19531
21.05.2024;70136.53125
22.05.2024;69122.33594
23.05.2024;67929.5625
24.05.2024;68526.10156
25.05.2024;69265.94531
26.05.2024;68518.09375
27.05.2024;69394.55469
28.05.2024;68296.21875
29.05.2024;67578.09375
30.05.2024;68364.99219
31.05.2024;67491.41406
1.06.2024;67706.9375
2.06.2024;67751.60156
3.06.2024;68804.78125
4.06.2024;70567.76563
5.06.2024;71082.82031
6.06.2024;70757.16406
7.06.2024;69342.58594
8.06.2024;69305.77344
9.06.2024;69647.99219
10.06.2024;69512.28125
11.06.2024;67332.03125
12.06.2024;68241.1875
13.06.2024;66756.39844
14.06.2024;66011.09375
15.06.2024;66191,00
16.06.2024;66639.04688
17.06.2024;66490.29688
18.06.2024;65140.74609
19.06.2024;64960.29688
20.06.2024;64828.65625
21.06.2024;64096.19922
22.06.2024;64252.57813
23.06.2024;63180.79688
24.06.2024;60277.41406
25.06.2024;61804.64063
26.06.2024;60811.27734
27.06.2024;61604.80078
28.06.2024;60320.13672
29.06.2024;60887.37891
30.06.2024;62678.29297
1.07.2024;62851.98047
2.07.2024;62029.01563
3.07.2024;60173.92188
4.07.2024;56977.70313
5.07.2024;56662.375
6.07.2024;58303.53906
7.07.2024;55849.10938
8.07.2024;56705.09766
9.07.2024;58009.22656
10.07.2024;57742.49609
11.07.2024;57344.91406
12.07.2024;57899.46484
13.07.2024;59231.95313
14.07.2024;60787.79297
15.07.2024;64870.15234
16.07.2024;65097.14844
17.07.2024;64118.79297
18.07.2024;63974.06641
19.07.2024;66710.15625
20.07.2024;67163.64844
21.07.2024;68154.52344
22.07.2024;67585.25
23.07.2024;65927.67188
24.07.2024;65372.13281
25.07.2024;65777.22656
26.07.2024;67912.0625
27.07.2024;67813.33594
28.07.2024;68255.86719
29.07.2024;66819.91406
30.07.2024;66201.01563
31.07.2024;64619.25
1.08.2024;65357.5
2.08.2024;61415.06641
3.08.2024;60680.09375
4.08.2024;58116.97656
5.08.2024;53991.45703
6.08.2024;56034.31641
7.08.2024;55027.46094
8.08.2024;61710.13672
9.08.2024;60880.11328
10.08.2024;60945.8125
11.08.2024;58719.48438
12.08.2024;59354.51563
13.08.2024;60609.56641
14.08.2024;58737.26953
15.08.2024;57560.09766
16.08.2024;58894.10547
17.08.2024;59478.97266
18.08.2024;58483.96484
19.08.2024;59493.45313
20.08.2024;59012.79297
21.08.2024;61175.19141
22.08.2024;60381.91406
23.08.2024;64094.35547
24.08.2024;64178.99219
25.08.2024;64333.54297
26.08.2024;62880.66016
27.08.2024;59504.13281
28.08.2024;59027.625
29.08.2024;59388.17969
30.08.2024;59119.47656
31.08.2024;58969.89844
1.09.2024;57325.48828
2.09.2024;59112.48047
3.09.2024;57431.02344
4.09.2024;57971.53906
5.09.2024;56160.48828
6.09.2024;53948.75391
7.09.2024;54139.6875
8.09.2024;54841.56641
9.09.2024;57019.53516
10.09.2024;57648.71094
11.09.2024;57343.17188
12.09.2024;58127.01172
